"Gene.ID","moduleColor","GS.","p.GS."
"ENSG00000163145","blue",0.708463944029417,6.29699109951913e-25
"ENSG00000066136","blue",0.707842877390272,7.21317345320661e-25
"ENSG00000134709","blue",-0.70720372756124,8.29232519693961e-25
"ENSG00000149016","blue",0.7070439698912,8.58589467918782e-25
"ENSG00000237686","blue",0.706907709631608,8.84432060551418e-25
"ENSG00000035403","blue",-0.70629678757238,1.00998853840421e-24
"ENSG00000123243","blue",0.70575687251666,1.13538878110896e-24
"ENSG00000178188","blue",0.705156161109398,1.29288858069264e-24
"ENSG00000147382","blue",-0.70500936427016,1.33452317760429e-24
"ENSG00000171812","blue",0.705001782573653,1.33670884176842e-24
"ENSG00000156049","blue",0.704913989993306,1.36227490906212e-24
"ENSG00000135766","blue",-0.704430943059041,1.51175698656798e-24
"ENSG00000064692","blue",0.703787053077245,1.73625568390619e-24
"ENSG00000197093","blue",0.703693629425358,1.77143376855576e-24
"ENSG00000126878","blue",-0.702984988260736,2.06201288518731e-24
"ENSG00000084636","blue",0.702855419302384,2.11997978653563e-24
"ENSG00000108219","blue",-0.70270637846511,2.18863570136261e-24
"ENSG00000126016","blue",0.702514803057315,2.28009482761823e-24
"ENSG00000138134","blue",0.702044580447166,2.52076615115738e-24
"ENSG00000170745","blue",0.701655125874955,2.73881238887453e-24
"ENSG00000109099","blue",-0.701639956368562,2.74766945301636e-24
"ENSG00000135821","blue",-0.701332560562741,2.93332220270255e-24
"ENSG00000106483","blue",0.700938971525369,3.18907108327381e-24
"ENSG00000132561","blue",0.699870479062581,3.9987410596419e-24
"ENSG00000197852","blue",-0.699614913185065,4.22047100805736e-24
"ENSG00000255248","blue",0.699536107279009,4.29124314185871e-24
"ENSG00000103111","blue",-0.698848094342231,4.96062729131713e-24
"ENSG00000183801","blue",0.698512702220913,5.32304780322798e-24
"ENSG00000048707","blue",-0.698328769946437,5.53269541919167e-24
"ENSG00000165389","blue",-0.698189297821492,5.69704289065411e-24
"ENSG00000100605","blue",-0.698123117669588,5.77669156598134e-24
