"Gene.ID","moduleColor","GS.","p.GS.","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green"
"ENSG00000165169","turquoise",-0.466241183387162,6.14367050646156e-11,0.51260532983266,3.01261832130058e-13,-0.432338346098331,1.86514563771875e-09,0.365100276774282,5.83811255202458e-07
"ENSG00000171723","turquoise",-0.466120873003378,6.22272979047498e-11,0.512715527201028,2.97187202718743e-13,-0.473749576093757,2.73880246922006e-11,0.331476062783576,6.58017324643997e-06
"ENSG00000196782","turquoise",0.466108039180292,6.23122124316858e-11,-0.507516939869128,5.61982483324633e-13,0.445424089073711,5.22148233694919e-10,-0.334466403023504,5.36482461371288e-06
"ENSG00000139514","turquoise",-0.465982271524161,6.31503167066313e-11,0.600693074780795,9.73214576334308e-19,-0.54903964177894,2.52500693847437e-15,0.384732175822079,1.24202356495387e-07
"ENSG00000104848","turquoise",-0.465971759237693,6.32208624747364e-11,0.453440003883591,2.32982137020553e-10,-0.459527783200394,1.24454301516673e-10,0.262871343902558,0.000407974199373214
"ENSG00000211455","turquoise",0.465900912435396,6.36982972338391e-11,-0.530595423120514,3.0525333011414e-14,0.441145148276422,7.96496489980711e-10,-0.264086756711135,0.000382578021793314
"ENSG00000132680","turquoise",-0.465886732539803,6.37942741409301e-11,0.495667548478553,2.30767027500941e-12,-0.471489817074727,3.49991208079814e-11,0.318801603398098,1.52729371101479e-05
"ENSG00000092871","turquoise",-0.465845216181346,6.40760853315442e-11,0.526414862008669,5.25982645485639e-14,-0.484681029954793,8.151741180265e-12,0.333333956770191,5.79760513334971e-06
"ENSG00000020256","turquoise",0.465735234743952,6.48284807650656e-11,-0.505683184094391,7.0179574965584e-13,0.525362119968166,6.02516631221561e-14,-0.338224408367521,4.13796542367894e-06
"ENSG00000104833","turquoise",-0.465702985080514,6.50507236515711e-11,0.47943877836071,1.46544798989582e-11,-0.553317900289439,1.38542926730882e-15,0.233994553392123,0.00172045482013398
"ENSG00000188997","turquoise",-0.465675328757273,6.52419005322676e-11,0.511202658904008,3.58126404439878e-13,-0.485280715111908,7.61789910008509e-12,0.263386045132758,0.00039703465822434
"ENSG00000113448","turquoise",-0.465623313808721,6.560293536706e-11,0.611958594586521,1.44333570533802e-19,-0.47468374791136,2.47347611127909e-11,0.486598575251349,6.5613275432445e-12
"ENSG00000167525","turquoise",0.46557035172449,6.59725341805847e-11,-0.491578828514555,3.71047233775304e-12,0.496436363939764,2.10903729609051e-12,-0.365452604084042,5.68324964604346e-07
"ENSG00000244256","turquoise",-0.465506335661026,6.64219690883385e-11,0.49247622243187,3.34498533470546e-12,-0.460922187335871,1.07616311205309e-10,0.327090076515206,8.84377567962886e-06
"ENSG00000245750","turquoise",0.46542761831059,6.69786870174053e-11,-0.494506464174648,2.64254928628936e-12,0.497405549990992,1.88220936614687e-12,-0.271133841295083,0.000261975179020591
"ENSG00000173674","turquoise",-0.465311617497538,6.78073405080041e-11,0.561284419951124,4.42721437967352e-16,-0.503353593882266,9.28882215742918e-13,0.411246748639472,1.29957038067819e-08
"ENSG00000269343","turquoise",-0.465189272141263,6.86920839345608e-11,0.483418297421763,9.39728075085662e-12,-0.49057523925431,4.16522536948591e-12,0.194127214242285,0.00962345197267054
"ENSG00000117395","turquoise",-0.46501278548754,6.99880953931773e-11,0.506946861466034,6.02255421260721e-13,-0.518462494795762,1.45089632995027e-13,0.386942836311819,1.03667116789164e-07
"ENSG00000271538","turquoise",0.464995104281342,7.0119234267368e-11,-0.52479049650106,6.48512852468638e-14,0.534604191146351,1.79881390708241e-14,-0.308631567387378,2.92182561444935e-05
"ENSG00000159166","turquoise",-0.464956489255954,7.0406464907231e-11,0.476202265551377,2.09453411668466e-11,-0.468542049459922,4.80631900203806e-11,0.32188065565265,1.24907144980873e-05
"ENSG00000271133","turquoise",0.464866286817142,7.10818701514001e-11,-0.527037406245526,4.85273749873803e-14,0.491198030115046,3.87703464215084e-12,-0.345228973029782,2.52713276491716e-06
"ENSG00000188343","turquoise",-0.464753789906058,7.19330143562084e-11,0.506168565371436,6.61800578475286e-13,-0.460859177816598,1.08327074067319e-10,0.369337370863677,4.21632730855232e-07
"ENSG00000120907","turquoise",-0.464750385801126,7.195892298445e-11,0.490877983146929,4.02262468404624e-12,-0.408512455692919,1.65539497897557e-08,0.455952030822866,1.801386053567e-10
"ENSG00000161996","turquoise",0.46474836377187,7.19743169230059e-11,-0.496561841959647,2.07823768093685e-12,0.455840577449149,1.82214390377254e-10,-0.341415457596631,3.31029931259323e-06
"ENSG00000184677","turquoise",-0.464723050452813,7.21673004495588e-11,0.528783569227645,3.86791040777446e-14,-0.467264386998516,5.50951851224129e-11,0.305779991574947,3.48991523864311e-05
"ENSG00000238198","turquoise",0.464409163615825,7.46023812715315e-11,-0.465684420153091,6.51789953997996e-11,0.4050611605776,2.23987676242436e-08,-0.283936199511003,0.000128201855455098
"ENSG00000185164","turquoise",-0.464382246040776,7.48148723823774e-11,0.503514854126466,9.11092565285157e-13,-0.406370306594572,1.99795659937789e-08,0.188486788499507,0.0119896797146352
"ENSG00000188641","turquoise",-0.464303456369355,7.54402266674282e-11,0.519704338502837,1.24044110876523e-13,-0.389901350329813,8.1225676099293e-08,0.40152340721585,3.04297594167458e-08
"ENSG00000233894","turquoise",0.464243687930356,7.59179860960363e-11,-0.499672231933895,1.44041115524156e-12,0.506531575850052,6.33347337779933e-13,-0.3413369485108,3.32862340258372e-06
"ENSG00000152894","turquoise",-0.46419871647917,7.62793980460998e-11,0.493929568434313,2.82605488984638e-12,-0.447553007384147,4.22278601609413e-10,0.311557613716653,2.43023323384295e-05
"ENSG00000054523","turquoise",-0.464112351496704,7.69781508103953e-11,0.595548367404953,2.26974371284039e-18,-0.49208752994741,3.49877911191955e-12,0.444506737259021,5.71906313910071e-10
"ENSG00000012211","turquoise",-0.464026401700234,7.76797027029219e-11,0.492832379421129,3.20984752946887e-12,-0.466972758054828,5.68348749219405e-11,0.224451663720906,0.00266986521796923
"ENSG00000162909","turquoise",-0.463931714536775,7.84597468903852e-11,0.503657360497893,8.95647994628271e-13,-0.427515956847006,2.94185236767485e-09,0.46261446678256,9.01314633208499e-11
"ENSG00000151611","turquoise",-0.463895054279072,7.8763792928144e-11,0.461789587366885,9.82794101700292e-11,-0.360683939129534,8.15547176080068e-07,0.413945235862856,1.02128424302308e-08
"ENSG00000256204","turquoise",-0.463798637778525,7.95688961080334e-11,0.479089651636422,1.52328570701279e-11,-0.429390606402455,2.46635191318782e-09,0.36578711427801,5.53985708229589e-07
"ENSG00000121931","turquoise",-0.463790939640866,7.96335203562536e-11,0.541129267326843,7.49180033485643e-15,-0.475782574374423,2.19322573088092e-11,0.245004939123334,0.00101360254668753
"ENSG00000172748","turquoise",0.463780678307929,7.9719741201842e-11,-0.520456896098785,1.12770840779029e-13,0.507263853525938,5.79527290184984e-13,-0.220919337740583,0.00312755620419916
"ENSG00000173281","turquoise",-0.463664742744673,8.07001982233367e-11,0.44976609074718,3.38129460988209e-10,-0.490743147848963,4.08553993094608e-12,0.186059498948305,0.0131562193690088
"ENSG00000125733","turquoise",-0.463639459200157,8.0915566220336e-11,0.492102856989211,3.49258658439775e-12,-0.477629172747209,1.79019345753915e-11,0.319548533641747,1.45486985987493e-05
"ENSG00000050438","turquoise",0.463570705244155,8.1504041118312e-11,-0.497091657079357,1.95294296912532e-12,0.41020210889572,1.42582221746758e-08,-0.358444021425848,9.64391635322992e-07
"ENSG00000153485","turquoise",-0.463437933058761,8.26522201591855e-11,0.505887739532047,6.8466169296126e-13,-0.518368409243474,1.46818761051029e-13,0.351148215213795,1.65033386920677e-06
"ENSG00000116698","turquoise",-0.463416050651291,8.28429522385579e-11,0.552756941256839,1.49960324872719e-15,-0.452121488749437,2.66438888168059e-10,0.239342595451867,0.00133453256722041
"ENSG00000078319","turquoise",0.463327355633217,8.36204167666927e-11,-0.487546526175479,5.89084502310215e-12,0.471609309158202,3.45497783087518e-11,-0.383265451005632,1.39922502201191e-07
"ENSG00000183475","turquoise",-0.463288819727123,8.39604064682869e-11,0.554632656189579,1.15007093065588e-15,-0.386558393910175,1.06987250088346e-07,0.423665463068498,4.21140524383852e-09
"ENSG00000168672","turquoise",-0.463279829514478,8.40399167200833e-11,0.5028059535085,9.91854390187265e-13,-0.369610421415376,4.12816062091306e-07,0.420660494575835,5.55479902839444e-09
"ENSG00000005020","turquoise",-0.463279690937252,8.4041142880548e-11,0.551612395361842,1.76176631378499e-15,-0.42266926000679,4.61763870486371e-09,0.417744087559617,7.24842323095843e-09
"ENSG00000187922","turquoise",-0.463122048875205,8.54472811468124e-11,0.436167338570831,1.29225405316862e-09,-0.411440026543453,1.27742317753802e-08,0.256556544134375,0.00056693997032338
"ENSG00000168952","turquoise",-0.463092179348336,8.57162694517157e-11,0.499569326406251,1.4580740457418e-12,-0.461803261475765,9.81386974907232e-11,0.295281229226254,6.60835162469566e-05
"ENSG00000126803","turquoise",0.462970104536359,8.68241638779932e-11,-0.520057220652835,1.18627571881005e-13,0.458114357355911,1.4411624095413e-10,-0.390050056848061,8.02306793773058e-08
"ENSG00000117523","turquoise",-0.462840983686339,8.80111064415661e-11,0.549404014624727,2.39996836253437e-15,-0.424857570614702,3.77049545780859e-09,0.484111897771276,8.69188759093902e-12
"ENSG00000134954","turquoise",-0.462812942793482,8.82709429465069e-11,0.501188372030996,1.20308407200872e-12,-0.367491008809143,4.86152669608284e-07,0.369280807010506,4.23481532954819e-07
"ENSG00000120963","turquoise",0.462779152162962,8.85850464135537e-11,-0.499159083153487,1.53060626391819e-12,0.481541456598786,1.15963321638837e-11,-0.293585830786997,7.30930723464123e-05
"ENSG00000166228","turquoise",0.462724424695072,8.90960693240203e-11,-0.496171722751012,2.17545765930249e-12,0.467605016698722,5.31285190736889e-11,-0.248283130142257,0.000861870656491335
