"display name","Degree","BetweennessCentrality","ClusteringCoefficient"
"BBS7",15,0.00121338267890515,0.333333333333333
"ADH1B",15,0.00208049098137902,0.152380952380952
"PAK4",15,0.00329273009044812,0.2
"BET1L",15,0.00390839604741502,0.171428571428571
"AACS",15,0.00249108698323461,0.19047619047619
"SF3B4",15,0.00334049698451193,0.276190476190476
"SGCE",15,0.0025289026582159,0.133333333333333
"LIN7A",15,0.00105814550351964,0.20952380952381
"GRIK4",15,0.00102231543022469,0.276190476190476
"MS4A2",15,0.000513944109811355,0.352380952380952
"PENK",15,0.00146094054800222,0.142857142857143
"SLC18A2",15,0.00149120217739991,0.219047619047619
"VEGFB",15,0.00161938175168914,0.438095238095238
"CMA1",15,0.000711694916100055,0.228571428571429
"PGF",15,0.000241593395895827,0.485714285714286
"SRRT",15,0.00283005465753412,0.295238095238095
"F8",15,0.00217046172156905,0.247619047619048
"PIK3C2B",15,0.00130237537516767,0.304761904761905
"TNXB",15,0.00158497602300445,0.561904761904762
"GDF15",15,0.00149688241010135,0.161904761904762
"KCNQ4",15,0.00179625043406335,0.371428571428571
"FZD7",15,0.000927704645960054,0.247619047619048
"ZRSR2",15,0.00419925466518623,0.20952380952381
"EIF4EBP1",15,0.00371284262544754,0.285714285714286
"EPB41L1",15,0.000896098225461903,0.342857142857143
"GDPD3",15,0.00171435718558538,0.285714285714286
"SF1",15,0.001285419621269,0.342857142857143
"PRPF3",15,0.0022736977829718,0.20952380952381
"UPF1",15,0.00468110985585081,0.0761904761904762
