"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","CC","GO:0031012","extracellular matrix","190/4352","496/19944",0.383064516129032,1.75547764468691,9.00147662225701,2.62213492670202e-17,1.27610080533119e-14,1.11968008855713e-14,"3730/7869/7077/1462/1298/4052/954/2155/2192/1307/2219/7481/43/4313/8425/55214/22798/151887/1215/1299/7042/3956/1511/89932/1522/25878/4324/6422/3574/333/7040/1311/5803/5118/5919/165/4969/54829/1842/6387/59/81621/3959/1277/7448/3263/4192/4256/1303/1297/64094/3910/4015/6678/7060/2246/1294/2202/4237/2152/1509/1490/4053/7043/63923/7045/2331/80760/1300/4693/81578/4958/4016/348/9518/1289/5176/10117/4147/10631/4017/11095/8728/5270/23452/4856/23213/953/310/140766/8483/4060/10516/5046/145864/7041/1291/1292/81794/1805/83872/1893/7044/129804/1295/6423/1404/171019/8573/256158/871/667/25890/4325/9508/57188/81035/10417/1476/11093/9672/25903/3490/2199/78987/1359/7123/10085/11082/133584/1278/157869/115908/158326/5654/2200/4239/26585/4054/7148/1281/3965/7059/169044/6383/255631/1296/10218/3913/7177/30008/51162/4485/162466/8722/127435/143282/161198/64856/284297/633/80781/90187/1946/23768/169611/339366/7058/129080/253935/4059/79875/7373/346007/1287/375790/5549/5649/307/309/1305/6693/23145/9719/4326/64093/1302/1306/131873/8292",190
"GO:0030312","CC","GO:0030312","external encapsulating structure","190/4352","497/19944",0.382293762575453,1.75194549650846,8.96864894141693,3.34495623940023e-17,1.27610080533119e-14,1.11968008855713e-14,"3730/7869/7077/1462/1298/4052/954/2155/2192/1307/2219/7481/43/4313/8425/55214/22798/151887/1215/1299/7042/3956/1511/89932/1522/25878/4324/6422/3574/333/7040/1311/5803/5118/5919/165/4969/54829/1842/6387/59/81621/3959/1277/7448/3263/4192/4256/1303/1297/64094/3910/4015/6678/7060/2246/1294/2202/4237/2152/1509/1490/4053/7043/63923/7045/2331/80760/1300/4693/81578/4958/4016/348/9518/1289/5176/10117/4147/10631/4017/11095/8728/5270/23452/4856/23213/953/310/140766/8483/4060/10516/5046/145864/7041/1291/1292/81794/1805/83872/1893/7044/129804/1295/6423/1404/171019/8573/256158/871/667/25890/4325/9508/57188/81035/10417/1476/11093/9672/25903/3490/2199/78987/1359/7123/10085/11082/133584/1278/157869/115908/158326/5654/2200/4239/26585/4054/7148/1281/3965/7059/169044/6383/255631/1296/10218/3913/7177/30008/51162/4485/162466/8722/127435/143282/161198/64856/284297/633/80781/90187/1946/23768/169611/339366/7058/129080/253935/4059/79875/7373/346007/1287/375790/5549/5649/307/309/1305/6693/23145/9719/4326/64093/1302/1306/131873/8292",190
"GO:0005604","CC","GO:0005604","basement membrane","49/4352","100/19944",0.49,2.24553308823529,6.59674102723162,1.75400345095576e-09,4.46101544359749e-07,3.91419717476444e-07,"954/2192/1307/43/55214/22798/151887/1299/89932/333/59/7448/64094/3910/6678/7060/1294/7045/4016/1289/5176/4147/4017/953/1291/83872/1295/8573/256158/667/133584/158326/2200/169044/255631/1296/3913/30008/64856/80781/1946/7058/1287/375790/1305/6693/64093/1306/8292",49
"GO:0005581","CC","GO:0005581","collagen trimer","41/4352","86/19944",0.476744186046512,2.18478539671683,5.81714567824463,9.65762935325129e-08,1.7924181830271e-05,1.57270878720457e-05,"1298/114899/1307/2219/1299/1277/1303/1297/4015/1294/78989/1300/81578/1289/114904/6441/4060/1291/1292/1295/114898/81035/114905/1278/115908/51435/1281/169044/255631/1296/80781/129080/7373/1287/1305/1302/1306/387911/131873/8292/338872",41
"GO:0042611","CC","GO:0042611","MHC protein complex","18/4352","25/19944",0.72,3.29955882352941,6.07812373433881,1.17458596528643e-07,1.7924181830271e-05,1.57270878720457e-05,"972/3140/3119/3123/3117/3111/3108/3122/3107/3133/3135/3134/3136/3105/3115/3113/3106/3109",18
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","108/4352","319/19944",0.338557993730408,1.55151668817997,5.24611663533138,4.20197506313952e-07,5.34351162195908e-05,4.68851954413462e-05,"414/920/2326/8635/1462/1356/1298/4052/2155/10954/51661/1307/10961/55214/1299/23555/3956/410/80020/1522/412/91851/5595/4924/1277/7448/7466/51561/1303/1297/590/1294/84141/3488/2882/335/64374/1191/1300/81578/652/2159/5589/348/3270/1289/10117/51280/10956/10970/10695/121506/22901/60681/1291/1292/57333/285362/1295/56034/2719/871/51738/415/340348/11093/54587/3490/4043/51246/493869/64167/1278/3990/2200/51148/79001/1281/10098/169044/6383/10491/80310/255631/1296/7857/3913/627/57104/92949/64856/79642/5179/80781/2621/340075/64714/64222/7373/1287/5154/1305/23127/140606/1066/1302/1306/632",108
"GO:0009897","CC","GO:0009897","external side of plasma membrane","126/4352","393/19944",0.320610687022901,1.46926919622811,4.96389526322838,1.33809897598491e-06,0.000143006493662467,0.000125477174545532,"974/920/933/972/57823/11119/65078/2213/4162/3682/2219/5027/3902/30835/1439/3560/958/959/50615/2217/2208/6387/8029/657/5023/2348/921/969/50856/10384/9308/3953/914/2152/78989/9429/55068/9034/7852/51744/4063/5328/10385/154796/2159/1236/51554/482/84824/3824/4907/55576/3590/953/939/3687/432/1513/1238/2044/2676/3561/2206/460/165530/3140/925/7070/5169/2890/931/3815/8764/911/913/1636/23308/917/1234/115352/114836/2215/3577/1493/131450/114625/133396/2350/915/762/1524/2675/3575/84168/10663/6403/161198/283316/940/2205/3579/343413/1946/2826/2811/3916/11118/7293/349667/4059/6402/3123/6693/916/80741/3107/3133/3135/3134/3136/3105/6966/6967/7124/3106/441381",126
"GO:0048786","CC","GO:0048786","presynaptic active zone","37/4352","81/19944",0.45679012345679,2.09334150326797,5.20912401958149,1.49941277758812e-06,0.000143006493662467,0.000125477174545532,"9254/493/9170/1496/112755/140730/57030/8775/2906/5864/6804/320/5023/2571/23025/9885/23208/6812/440279/8497/150/2823/781/55361/2890/127262/1487/84446/22854/2560/8927/133584/8495/8541/415117/386617/84628",37
"GO:0005614","CC","GO:0005614","interstitial matrix","14/4352","19/19944",0.736842105263158,3.37674148606811,5.47580983198156,2.04547030672646e-06,0.000173410427114699,0.000152154282465267,"1298/1307/151887/1299/1842/81621/1303/1297/1300/1295/133584/1296/64856/7373",14
"GO:0036064","CC","GO:0036064","ciliary basal body","110/4352","338/19944",0.325443786982249,1.49141794291681,4.81397283819437,2.82962932257113e-06,0.000215900717312178,0.000189436236753183,"54903/8481/23247/4134/10806/9696/493/57560/23293/29105/2121/2736/25930/7289/11158/1136/25861/25776/25809/51098/24148/56062/5595/29070/4832/23322/729440/95681/27077/90410/2735/1027/22858/51715/55722/2771/49856/5311/89891/11064/80127/112752/80129/84902/84080/583/5300/10844/164395/54862/79363/22873/57639/80210/4957/79739/51626/26509/55329/85478/585/2622/22994/207/23126/51256/107080638/1069/84131/60494/1070/5578/126731/118491/9364/199221/56683/5692/755/6285/197335/220004/129880/27152/123016/11092/79841/115811/374654/374864/116840/6919/257236/26259/158135/8607/79874/225689/10856/340061/8558/79955/9742/85302/4311/80184/9851/92565/55559/402",110
