"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","45/2511","79/4460",0.569620253164557,1.01175082800236,0.119600105169358,0.49979484239696,0.999999988482463,0.927318285058926,"55173/29093/6128/6175/10240/64983/51264/6207/51258/6206/11222/64960/6230/6125/64981/64432/6155/92259/6210/57129/54534/29088/51187/6229/6189/6129/54148/51023/200916/3921/64979/6201/28998/6124/56945/51642/51649/51021/9045/6136/28977/116540/6173/9553/6139",45
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","54/2511","95/4460",0.568421052631579,1.0096208262592,0.107576701397727,0.500470689672927,0.999999988482463,0.927318285058926,"9716/1659/51729/988/8563/84844/1655/9343/1665/6428/10915/22916/23451/6429/58517/10285/11017/6631/57187/6628/51691/6627/56259/55119/84991/3178/6426/6434/9128/4686/51645/9785/10907/6637/9879/51503/7307/102724594/80145/23350/11157/10569/3190/8559/6632/51362/10713/5356/10594/6635/10772/55660/8449/494115",54
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","51/2511","90/4460",0.566666666666667,1.0065047125979,0.0707529939205429,0.516309525970655,0.999999988482463,0.927318285058926,"2519/4074/3920/6556/535/2581/8692/9741/23431/57192/23335/162/2717/23062/427/4125/1174/3988/4669/1075/4891/79158/135112/3373/26503/23163/8546/6272/53/1514/967/8763/2799/950/1213/4864/130340/10239/7805/1508/138050/164/1657/2629/1176/8905/26985/23545/3482/9583/4668",51
"hsa00020","Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","10/2511","17/4460",0.588235294117647,1.04481458055146,0.210107624679228,0.517984266742237,0.999999988482463,0.927318285058926,"1431/5106/4967/47/5160/8803/3417/1737/3419/3418",10
"hsa00310","Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","24/2511","42/4460",0.571428571428571,1.01496273539284,0.110575511795694,0.520773764586373,0.999999988482463,0.927318285058926,"55904/10157/58508/5351/3030/6839/84444/2146/150572/55870/7799/39/23067/63976/9869/79823/80854/54904/5352/64324/8085/79813/29072/55217",24
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","57/2511","101/4460",0.564356435643564,1.00240131540036,0.0277046476726032,0.530988898786192,0.999999988482463,0.927318285058926,"1870/4257/578/57492/5291/60/2932/4616/5594/6655/7976/4233/6198/6603/81029/1871/1452/7474/7475/6654/10000/8503/8289/5290/51426/1026/2002/55274/5894/3845/2947/324/86/4609/6601/5925/4089/5295/1956/7484/7855/7048/55193/8323/4088/8313/2948/5604/598/5728/2885/1728/196528/114112/7296/2475/4893",57
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","71/2511","126/4460",0.563492063492063,1.00086603073461,0.0111920668887877,0.533255042994968,0.999999988482463,0.927318285058926,"637/5601/5291/23118/6416/7132/387/998/4775/2932/338/5594/7494/57534/3551/8797/5532/5608/1432/5906/10000/8503/22926/8795/5533/5290/5908/468/91860/3929/3949/5468/3845/1965/10451/9475/948/5879/10010/7099/7097/1558/5530/5170/5451/817/5295/7436/114609/3606/5603/1536/840/7184/6774/598/54205/4615/10333/29110/3654/6256/6714/4217/30001/51135/801/4893/1147/5534/4067",71
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","25/2511","44/4460",0.568181818181818,1.00919590166902,0.0695732510283906,0.5355738848948,0.999999988482463,0.927318285058926,"5601/23118/55540/10758/5597/2932/51433/5594/3551/1432/6426/5596/6279/29761/5603/257397/6280/84818/7184/8772/1051/8061/23765/29110/1147",25
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","11/2511","19/4460",0.578947368421053,1.02831750822696,0.140387235567066,0.540111064971253,0.999999988482463,0.927318285058926,"5236/2632/3098/3099/3101/178/2992/283209/55276/7360/2595",11
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","16/2511","28/4460",0.571428571428571,1.01496273539284,0.0901418171232892,0.543242772736037,0.999999988482463,0.927318285058926,"1080/1244/10347/10060/5243/4363/8714/10058/5825/10257/22/23456/10350/23460/23461/225",16
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","86/2511","153/4460",0.562091503267974,0.998378376971391,-0.0231656428066009,0.543502094243397,0.999999988482463,0.927318285058926,"5685/5601/5291/1459/113457/2932/5705/3710/5714/5594/5706/5684/5700/5693/5687/5688/1457/5713/10382/858/857/5683/727/10488/5532/5717/1432/730/10213/1386/8503/1385/4709/5533/5290/3709/10376/468/4698/1349/1965/3915/5879/7280/5530/5694/5686/5295/4684/775/291/112714/4685/5603/90993/714/516/5701/9861/5580/1536/4712/509/7417/84790/3800/54205/713/5707/64837/5708/84617/79861/55967/10383/203068/5718/7278/6262/4541/4512/4538/4539/7416/5534/4509",86
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","35/2511","62/4460",0.564516129032258,1.00268496036793,0.0241625232412844,0.543739218667205,0.999999988482463,0.927318285058926,"1431/4199/5315/2023/4200/5230/4967/2805/39/847/84693/55902/5160/8803/3417/2098/5226/4594/5631/2746/1737/3098/83440/3099/2539/3101/51/7086/3419/5095/6470/3418/2747/283871/6120",35
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","63/2511","112/4460",0.5625,0.99910394265233,-0.0109002440588724,0.54423668345318,0.999999988482463,0.927318285058926,"477/153/2983/2773/387/6093/4205/483/4775/3710/5594/4776/10488/5532/3827/1386/4209/10000/1385/10672/148/5533/3764/3709/7408/468/91860/5894/9475/1910/109/5530/91807/23533/481/185/340156/2768/775/291/2977/90993/115/4880/476/2982/7417/5604/3667/154/147/5581/488/5592/8660/5501/5138/4624/5350/801/7416/5500/5534",63
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","40/2511","71/4460",0.563380281690141,1.00066748559858,0.00643464300036304,0.547322121512796,0.999999988482463,0.927318285058926,"5601/5291/387/4775/3710/5594/4776/3551/5532/1432/868/10000/8503/5533/5290/3709/91860/5894/3845/4193/3586/5530/5295/5603/22808/2207/9261/5580/6850/26253/338339/10892/64581/5781/23365/6714/801/4893/1147/5534",40
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","64/2511","114/4460",0.56140350877193,0.997156371614021,-0.034907325725655,0.553386811503702,0.999999988482463,0.927318285058926,"5601/5291/23118/7132/57506/6128/6175/5594/51311/3551/4793/727/6207/7450/1432/6206/730/8503/6230/5290/6125/2162/718/6155/3572/6210/7099/7097/51187/6229/3454/2212/185/6189/5295/1956/6129/6868/5603/714/3570/3716/200916/6850/1536/3921/6774/719/6201/4615/713/6124/29110/3654/9045/728/6136/51135/1147/721/6173/720/110384692/6139",64
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","50/2511","89/4460",0.561797752808989,0.997856621874986,-0.0231813949950171,0.553811812820074,0.999999988482463,0.927318285058926,"1870/578/5291/2255/5241/2932/8648/4616/5594/6655/7976/6198/81029/1871/1452/7474/7475/6654/10000/8503/5290/51426/8202/1026/5894/3845/324/23493/4609/2250/2247/1950/675/5925/2100/2252/2064/5295/1956/7484/7855/26508/8323/8313/5604/5728/2885/6667/2475/4893",50
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","41/2511","73/4460",0.561643835616438,0.99758323649913,-0.0236291412931874,0.558511137204,0.999999988482463,0.927318285058926,"5601/5291/2773/6416/2932/4214/3710/1399/5594/2033/6655/10488/5608/1432/6654/1386/10000/8503/1385/5290/3709/468/5894/3845/109/5295/775/5603/90993/6755/115/1398/6774/5604/3667/2885/6752/9021/8660/2475/4893",41
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","17/2511","30/4460",0.566666666666667,1.0065047125979,0.040571685454762,0.560123212828211,0.999999988482463,0.927318285058926,"240/6916/2687/22949/81579/5322/1571/1558/84647/873/151056/3248/255189/247/284273/5320/8644",17
