"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04977","Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","9/2723","15/4848",0.6,1.06823356591994,0.299582308918816,0.488894551967381,0.999999999915543,0.95471236222047,"338/113278/4363/10560/25974/8884/55788/6573/6948",9
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","63/2723","111/4848",0.567567567567568,1.01049121100535,0.126565774848085,0.489633590997743,0.999999999915543,0.95471236222047,"25937/330/1495/64398/23291/5522/8463/1739/1741/2932/655/7976/6788/5516/5054/1855/7531/329/81029/653/896/23286/7474/55233/7475/84612/7533/9113/7482/324/4609/658/4089/7159/8994/56288/26524/9231/60485/7484/3689/7855/7048/5584/7534/8323/8945/7529/4088/8313/7532/4086/92597/8322/55844/6657/5501/4771/7003/7004/659/5500/5520",63
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","27/2723","47/4848",0.574468085106383,1.02277681843399,0.177605740656638,0.490483532969533,0.999999999915543,0.95471236222047,"5291/5594/6655/3551/6198/7704/6654/10000/8503/5290/2322/5894/3845/4609/5292/2209/673/6774/5604/3684/929/3728/2885/1978/2475/4893/1147",27
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","37/2723","65/4848",0.569230769230769,1.01345235741123,0.123590687654936,0.502912202085881,0.999999999915543,0.95471236222047,"3459/5291/1459/5594/3091/1457/3551/4793/5532/6198/5608/1432/10000/8503/29126/5533/5290/5894/3845/7099/7097/1950/5530/1956/114609/10538/3716/6774/5604/5728/4615/5781/2475/4893/1147/5534/283106",37
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","19/2723","33/4848",0.575757575757576,1.02507261376156,0.163583425428014,0.507826356169841,0.999999999915543,0.95471236222047,"586/65985/594/3030/11112/3157/34/39/84693/64087/3158/1629/3032/316/4594/549/10449/5095/64064",19
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","65/2723","115/4848",0.565217391304348,1.00630698238835,0.0774788470713396,0.508513584008492,0.999999999915543,0.95471236222047,"477/153/2983/2773/387/6093/483/3710/5594/4776/10488/5532/3827/1386/4209/10000/1385/10672/148/5533/3764/3709/7408/2770/468/91860/5894/9475/1910/109/5530/91807/23533/481/805/185/340156/2768/291/2977/2776/90993/115/4880/476/134/2982/4846/7417/5604/154/147/27094/5581/488/5592/8660/5501/5138/4624/5350/801/7416/5500/5534",65
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","15/2723","26/4848",0.576923076923077,1.02714765953841,0.157103669235266,0.519573310467746,0.999999999915543,0.95471236222047,"26224/1407/8454/23291/51422/1385/5565/5562/406/9575/6097/4783/8945/4862/5571",15
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","25/2723","44/4848",0.568181818181818,1.01158481621207,0.0873765414695764,0.528418585513798,0.999999999915543,0.95471236222047,"1080/477/1244/483/3781/5243/6523/366/760/8714/3156/6513/10257/3949/109/481/57552/115/476/6522/1581/361/6580/6256/358",25
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","114/2723","203/4848",0.561576354679803,0.999824519826546,-0.00289110642028492,0.53101865097192,0.999999999915543,0.95471236222047,"4293/8491/4254/5601/23118/6416/7132/10235/2255/998/9448/6196/27330/9175/2122/51701/8550/51776/285/4214/4616/2872/1399/5594/6655/5494/9252/6789/994/2321/3551/6788/4233/5599/5532/1326/5608/8649/9693/84867/1432/7422/5924/5159/3554/6654/1386/5906/10000/9048/6195/7010/5533/2322/2069/4149/2002/5908/3791/468/4294/5894/3845/4803/51347/6885/5879/4609/5495/2250/2247/1950/5530/2252/9064/5921/2768/1956/774/93589/55799/673/22808/2005/57551/2264/8986/9261/7039/7048/1849/836/783/1398/255189/5604/10746/929/55970/4615/3310/6197/2885/5062/3654/1435/3556/8912/4217/51135/777/4893/1147/5534",114
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","63/2723","112/4848",0.5625,1.00146896804994,0.017803130602423,0.53277430482872,0.999999999915543,0.95471236222047,"56919/330/5601/23118/9474/5586/387/3320/55054/10059/57506/58484/55072/54822/3710/5594/331/4210/8767/3551/4793/22900/10135/5599/6347/7531/24145/329/1432/3709/11035/84674/6885/10010/7295/7099/8737/23710/9051/81631/3454/9140/3606/140609/90550/257397/3716/3428/5580/1508/1536/7417/64127/8772/55669/598/4615/29110/79184/51135/1147/7416/4671",63
