"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","15/2125","54/4848",0.277777777777778,0.633725490196078,-2.39081910294714,0.995114652937595,0.999999359168392,0.896572252865174,"5214/56915/4849/80336/28960/2026/51690/25804/5211/84186/27258/140886/80153/118460/132430",15
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","19/2125","66/4848",0.287878787878788,0.656770053475936,-2.47995905724674,0.996048340317489,0.999999359168392,0.896572252865174,"2534/1496/2260/6932/10398/10627/5595/54922/4633/6615/5880/81/51176/3480/5792/6934/83439/55698/71",19
"hsa03450","Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","1/2125","10/4848",0.1,0.228141176470588,-2.1582268815701,0.996897593710399,0.999999359168392,0.896572252865174,"27343",1
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","23/2125","78/4848",0.294871794871795,0.672723981900453,-2.57391648126361,0.996912065500251,0.999999359168392,0.896572252865174,"5976/79023/9984/8086/23511/1917/7329/30000/55110/2733/79228/23225/29107/64328/10250/10284/1915/23214/10073/10189/64901/10921/23636",23
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","37/2125","116/4848",0.318965517241379,0.72769168356998,-2.62216301896017,0.997061069192263,0.999999359168392,0.896572252865174,"292/7419/7042/4773/1869/5595/7249/208/7040/595/1647/894/7043/6237/10912/4772/8900/1019/2626/7157/207/1029/3708/776/808/8878/7248/163688/5481/5293/5883/3265/6300/3133/3134/3105/3106",37
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","6/2125","30/4848",0.2,0.456282352941176,-2.63871699819658,0.998407548178988,0.999999359168392,0.896572252865174,"54457/2068/6878/6881/2963/404672",6
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","15/2125","59/4848",0.254237288135593,0.580019940179462,-2.86697835909368,0.998974511441229,0.999999359168392,0.896572252865174,"84678/23492/83746/2145/1911/5252/26147/57332/91133/26053/114785/23466/26013/54554/6015",15
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","1/2125","13/4848",0.0769230769230769,0.175493212669683,-2.62941919156521,0.99945318625193,0.999999359168392,0.896572252865174,"7108",1
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","40/2125","133/4848",0.300751879699248,0.686138876603273,-3.24201226270391,0.999649392646175,0.999999359168392,0.896572252865174,"9265/2534/9170/9138/5063/27128/10454/4792/8717/5595/9266/5602/9181/8743/644150/3553/7186/842/4628/4629/834/375/4651/2846/5058/6188/4643/114548/9076/7846/4642/3725/2147/2149/71/7122/7100/6300/7124/10552",40
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","28/2125","101/4848",0.277227722772277,0.632470588235294,-3.29712435134291,0.999744684625025,0.999999359168392,0.896572252865174,"5566/5834/5595/7249/2997/208/5573/5602/5564/53632/5507/8835/25759/6194/92579/57521/207/5567/5792/808/5563/7248/163688/5293/3265/23265/5575/90673",28
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","4/2125","29/4848",0.137931034482759,0.314677484787018,-3.26969838137483,0.999895046445648,0.999999359168392,0.896572252865174,"1757/275/501/200895",4
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","30/2125","117/4848",0.256410256410256,0.584977375565611,-4.01402788915283,0.999987888270678,0.999999359168392,0.896572252865174,"8379/4171/4175/10403/7042/1869/4173/51343/7040/5518/595/25906/1027/4172/1647/7709/894/7043/23383/10912/8900/10971/1019/7157/6502/1029/80174/7465/4176/29882",30
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","31/2125","125/4848",0.248,0.565790117647059,-4.34448091371558,0.99999753836661,0.999999359168392,0.896572252865174,"55176/23645/55968/10961/3326/10273/5602/7466/57134/6238/7186/5589/3337/23640/10956/3300/10970/22872/51035/22824/80700/10960/1649/11253/5886/6748/29978/3303/3305/100506742/1388",31
"hsa03008","Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","8/2125","55/4848",0.145454545454545,0.331841711229946,-4.40199096674398,0.999999359168392,0.999999359168392,0.896572252865174,"2091/10436/29107/55651/138716/51367/10607/27341",8
