"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042594","BP","GO:0042594","response to starvation","97/5224","235/18860",0.412765957446808,1.49019256459548,4.68025944073064,4.48503005624729e-06,0.000150165450772132,0.000120200304264338,"5166/3920/5583/8452/23274/9474/4287/6720/5289/56681/27244/93664/81929/27102/10985/27327/23411/51100/5594/9681/9463/7494/5106/6839/8428/10226/857/51422/867/80315/1386/64121/6513/2309/22954/29103/1026/8678/468/440275/5562/51520/1965/3158/54407/51765/8565/1824/3178/2752/10730/5292/23710/25989/81631/3607/8792/83939/123/3992/2308/133746/51128/7071/23367/10670/7484/467/151556/80149/54468/5828/7534/7486/26263/84879/4144/7532/8493/144577/220441/2629/5062/25994/5571/91689/10634/6667/5465/8644/30849/4217/23334/2475/659/96459/158",97
"GO:0031297","BP","GO:0031297","replication fork processing","33/5224","59/18860",0.559322033898305,2.01929815454097,4.85349053624852,4.64654976214231e-06,0.000154754562604403,0.000123873670113179,"4361/259282/5888/10721/64710/55218/546/25939/5932/4683/8914/25842/10111/5111/84893/1763/580/675/10498/54465/253714/29980/7486/55159/201254/983/9156/545/348654/57697/641/5591/51750",33
"GO:0044272","BP","GO:0044272","sulfur compound biosynthetic process","56/5224","119/18860",0.470588235294118,1.69894604089722,4.73410806922151,5.04265829635831e-06,0.000167067757588248,0.000133729797310974,"2729/5166/60481/2730/27430/64834/2182/32/23409/11332/4507/2687/4522/5230/23205/6505/1491/10560/79646/2181/4552/60386/80025/4357/2686/55902/47/5160/23743/25874/494143/58478/84869/635/4594/51144/1737/23657/2180/53354/875/102724560/441024/79993/54704/9200/4144/2194/79071/4524/55256/6667/27010/51703/54898/9060",56
"GO:0072659","BP","GO:0072659","protein localization to plasma membrane","117/5224","295/18860",0.396610169491525,1.43186596412905,4.62732419259833,5.0990856821539e-06,0.000168057365607656,0.000134521931483139,"3675/9912/5583/57554/9341/5318/65125/5525/7132/6093/55737/483/10640/64398/8301/4905/60/1739/8417/10890/10959/7430/10580/10490/10484/23062/8766/51201/3551/22841/81619/9368/9693/3875/9847/7957/64083/30818/55704/6342/9528/54206/5906/8548/8674/23184/8673/23433/5357/10434/84668/10133/2181/29993/80262/23163/79651/3911/8500/54521/10267/51763/2319/9215/8650/9475/948/64114/5879/55146/55667/10211/5962/950/5170/1213/342667/481/55204/5872/2803/10550/817/5295/1956/51125/3688/196383/288/55022/285172/23426/25921/9530/115548/11079/3745/2207/163882/5584/51304/783/7184/6809/27065/5581/598/3728/254887/5727/199920/65267/4644/6281/90196/2013/4067",117
"GO:0032007","BP","GO:0032007","negative regulation of TOR signaling","47/5224","95/18860",0.494736842105263,1.78612879825905,4.75443202357316,5.26315454807617e-06,0.000172435922913184,0.000138026758443383,"23304/8452/8454/4287/56681/27244/2932/81929/8550/23411/9681/3091/6198/7957/1452/7337/6195/57580/23677/5562/406/7428/55654/5292/4864/51128/64798/151556/54468/7534/6850/8945/2021/4144/7532/4534/144577/220441/7334/29110/7874/6714/57162/23334/2475/96459/158376",47
"GO:0000724","BP","GO:0000724","double-strand break repair via homologous recombination","83/5224","195/18860",0.425641025641026,1.53667491263203,4.66264145822801,5.28643632192757e-06,0.000172435922913184,0.000138026758443383,"23028/5980/23376/4361/8554/5888/10721/64710/54556/23503/60/55183/55218/79728/8318/25/8317/4174/7528/23613/1457/25939/5932/4683/5889/10635/8914/1108/25842/254394/9025/10111/10213/3070/54537/9643/84515/8089/54617/84250/84893/51444/3364/86/9656/10097/79035/675/253714/1111/286053/1859/26168/79677/113510/151987/11073/25836/5885/7486/254225/5347/55159/2237/149840/64859/80311/7334/348654/80010/2187/29072/55010/10933/57697/196528/7516/641/57162/23137/112441434/5591/51750",83
"GO:0043038","BP","GO:0043038","amino acid activation","27/5224","45/18860",0.6,2.16615620214395,4.8476168911203,5.65980802665855e-06,0.000183434996053857,0.000146830993580937,"6301/3735/55699/16/2617/833/5917/1615/10056/55157/55278/51520/4677/8565/2058/7453/57038/132949/4141/3035/5859/123283/3376/7407/92935/283459/80755",27
"GO:1903320","BP","GO:1903320","regulation of protein modification by small protein conjugation or removal","99/5224","242/18860",0.409090909090909,1.47692468327997,4.62177062620746,5.69544751097816e-06,0.000183434996053857,0.000146830993580937,"2729/23028/23077/1407/83932/23376/330/8554/8452/79142/54165/5601/9474/65125/9759/55743/83737/2932/10075/25/23551/3091/331/54602/9683/8767/857/7965/23560/5414/23142/55294/329/23328/26271/9532/7957/7337/868/2034/991/10987/6125/10054/4803/29979/84101/64844/10010/79139/9373/84259/91947/55215/8533/405/339745/153769/54778/65018/7805/80149/59343/26354/54726/285671/254170/9529/9318/54765/5347/64127/648/11170/7336/201254/5581/6201/27085/10892/165324/11065/7334/4869/80254/754/139285/10196/5071/7332/11261/51547/57697/123879/5478/57162/10920/1654/7335",99
"GO:0051783","BP","GO:0051783","regulation of nuclear division","66/5224","147/18860",0.448979591836735,1.62093321248867,4.67788204540879,5.71060275325692e-06,0.000183434996053857,0.000146830993580937,"7756/8452/54908/998/6196/9319/1906/4779/9183/6790/51433/332/10419/655/858/10635/26271/8899/7272/5810/5159/7474/991/11130/2069/9787/9088/3976/891/55143/324/9700/84101/79866/55755/51203/57082/9585/1950/5925/10040/83540/51143/55023/4288/3619/1111/9184/220134/286053/701/147841/5885/221150/5347/10201/27085/55055/11065/83903/348654/9212/1104/9735/157313/51434",66
"GO:0018105","BP","GO:0018105","peptidyl-serine phosphorylation","38/5224","72/18860",0.527777777777778,1.90541517781181,4.76421290353234,5.96276963206219e-06,0.000190567708240856,0.000152540390587364,"28996/6093/2932/6790/63967/6789/9770/3551/6198/10114/11235/200576/1017/3976/146057/4294/5894/6733/8737/1956/11011/127933/23049/23515/152559/5580/64324/219736/5347/64943/5581/5728/8658/29110/5613/27347/7150/5591",38
